Year,State,Winner's Age,State's Population
1921,District of Columbia,16,705749
1922,Ohio,16,11689100
1923,Ohio,17,11689100
1924,Pennsylvania,18,12801989
1925,California,19,39512223
1926,Oklahoma,18,3956971
1927,Illinois,17,12671821
1933,Connecticut,15,3565287
1935,Pennsylvania,17,12801989
1936,Pennsylvania,22,12801989
1937,New Jersey,17,8882190
1938,Ohio,21,11689100
1939,Michigan,19,9986857
1940,Pennsylvania,19,12801989
1941,California,18,39512223
1942,Texas,18,28995881
1943,California,19,39512223
1944,District of Columbia,19,705749
1945,New York,21,19453561
1946,California,21,39512223
1947,Tennessee,21,6829174
1948,Minnesota,18,5639632
1949,Arizona,18,7278717
1951,Alabama,21,4903185
1952,Utah,25,3205958
1953,Georgia,19,10617423
1954,Pennsylvania,20,12801989
1955,California,19,39512223
1956,Colorado,18,5758736
1957,South Carolina,19,5148714
1958,Colorado,20,5758736
1959,Mississippi,21,2976149
1960,Mississippi,20,2976149
1961,Michigan,18,9986857
1962,North Carolina,19,10488084
1963,Ohio,20,11689100
1964,Arkansas,21,3017804
1965,Arizona,21,7278717
1966,Kansas,19,2913314
1967,Oklahoma,19,3956971
1968,Kansas,20,2913314
1969,Illinois,18,12671821
1970,Michigan,21,9986857
1971,Texas,21,28995881
1972,Ohio,22,11689100
1973,Wisconsin,23,5822434
1974,Colorado,23,5758736
1975,Texas,21,28995881
1976,New York,18,19453561
1977,Minnesota,20,5639632
1978,Ohio,23,11689100
1979,Virginia,22,8535519
1980,Mississippi,22,2976149
1981,Oklahoma,21,3956971
1982,Arkansas,20,3017804
1983,California,25,39512223
1984,New York,20,19453561
1984,New Jersey,21,8882190
1985,Utah,20,3205958
1986,Mississippi,21,2976149
1987,Tennessee,21,6829174
1988,Michigan,24,9986857
1989,Minnesota,22,5639632
1990,Missouri,23,6137428
1991,Illinois,25,12671821
1992,Hawaii,24,1415872
1993,Florida,21,21477737
1994,South Carolina,18,5148714
1995,Alabama,21,4903185
1996,Oklahoma,24,3956971
1997,Kansas,23,2913314
1998,Illinois,20,12671821
1999,Virginia,24,8535519
2000,Kentucky,24,4467673
2001,Hawaii,24,1415872
2002,Oregon,21,4217737
2003,Illinois,22,12671821
2004,Florida,21,21477737
2005,Alabama,24,4903185
2006,Oklahoma,22,3956971
2007,Oklahoma,20,3956971
2008,Michigan,19,9986857
2009,Indiana,22,6732219
2010,Virginia,22,8535519
2011,Nebraska,17,1934408
2012,Wisconsin,23,5822434
2013,New York,24,19453561
2014,New York,24,19453561
2015,New York,23,19453561
2016,Georgia,21,10617423
2017,Arkansas,21,3017804
2018,North Dakota,23,762062
2019,New York,25,19453561
2020,Virginia,24,8535519
2022,Alaska,20,731545
2023,Wisconsin,20,5822434
